Identifikator,Perioden Id,Jahres Id,Geräte_Name,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1114672.46990,SP1114672.54.12,SY1114672.2026.46990,iPad1(1114672),01.06.26 11:24,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.46990,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,I4-1770047,Spargelsuppe Klein,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,4.579439,0.320561,Pagersystem
S1114672.46991,SP1114672.54.13,SY1114672.2026.46991,iPad1(1114672),01.06.26 11:24,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.46991,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,189,Vorher,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.46992,SP1114672.54.14,SY1114672.2026.46992,iPad1(1114672),01.06.26 11:24,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.46992,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Pagersystem
S1114672.46993,SP1114672.54.15,SY1114672.2026.46993,iPad1(1114672),01.06.26 11:24,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.46993,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.46994,SP1114672.54.16,SY1114672.2026.46994,iPad1(1114672),01.06.26 11:24,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.46994,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Pagersystem
S1114672.46995,SP1114672.54.17,SY1114672.2026.46995,iPad1(1114672),01.06.26 11:24,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.46995,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,I31,Pott Kaffee Crema,Heißgetränke(1549873308501605),,MwSt. 19%,1.19,2.689076,0.510924,Pagersystem
S1114672.46996,SP1114672.54.18,SY1114672.2026.46996,iPad1(1114672),01.06.26 11:24,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.46996,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Pagersystem
S1114672.46997,SP1114672.54.19,SY1114672.2026.46997,iPad1(1114672),01.06.26 11:24,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.46997,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.46998,SP1114672.54.20,SY1114672.2026.46998,iPad1(1114672),01.06.26 11:24,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.46998,SALE,1,2.4,2.4,0.0,0.0,0.0,0.0,S8,Rührei,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,2.242991,0.157009,Pagersystem
S1114672.46999,SP1114672.54.21,SY1114672.2026.46999,iPad1(1114672),01.06.26 11:25,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.46999,SALE,0,0.0,0.0,0.0,0.0,0.0,0.0,I33,Kaffee Crema,Heißgetränke(1549873308501605),,MwSt. 19%,1.19,0,0,Pagersystem
S1114672.47000,SP1114672.54.22,SY1114672.2026.47000,iPad1(1114672),01.06.26 11:25,Prod,A1114672.6460,Tisch 2,Manager(946638),S1114672.47000,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,I31,Pott Kaffee Crema,Heißgetränke(1549873308501605),,MwSt. 19%,1.19,2.689076,0.510924,Pagersystem
S1114672.47001,SP1114672.54.23,SY1114672.2026.47001,iPad1(1114672),01.06.26 11:29,Prod,A1114672.6461,,Manager(946638),S1114672.47001,SALE,1,6.0,6.0,0.0,0.0,0.0,0.0,157,"Wasser Sprudel (1,0 L)",Getränke(1549873308501013),[],MwSt. 19%,1.19,5.042017,0.957983,Ohne Pager
S1114672.47002,SP1114672.54.24,SY1114672.2026.47002,iPad1(1114672),01.06.26 11:29,Prod,A1114672.6461,,Manager(946638),S1114672.47002,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47003,SP1114672.54.25,SY1114672.2026.47003,iPad1(1114672),01.06.26 11:29,Prod,A1114672.6461,,Manager(946638),S1114672.47003,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47004,SP1114672.54.26,SY1114672.2026.47004,iPad1(1114672),01.06.26 11:29,Prod,A1114672.6461,,Manager(946638),S1114672.47004,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47005,SP1114672.54.27,SY1114672.2026.47005,iPad1(1114672),01.06.26 11:29,Prod,A1114672.6461,,Manager(946638),S1114672.47005,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47006,SP1114672.54.28,SY1114672.2026.47006,iPad1(1114672),01.06.26 11:29,Prod,A1114672.6461,,Manager(946638),S1114672.47006,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Ohne Pager
S1114672.47007,SP1114672.54.29,SY1114672.2026.47007,iPad1(1114672),01.06.26 11:40,Prod,A1114672.6462,Tisch 4,Manager(946638),S1114672.47007,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Pagersystem
S1114672.47008,SP1114672.54.30,SY1114672.2026.47008,iPad1(1114672),01.06.26 11:40,Prod,A1114672.6462,Tisch 4,Manager(946638),S1114672.47008,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47009,SP1114672.54.31,SY1114672.2026.47009,iPad1(1114672),01.06.26 11:40,Prod,A1114672.6462,Tisch 4,Manager(946638),S1114672.47009,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Pagersystem
S1114672.47010,SP1114672.54.32,SY1114672.2026.47010,iPad1(1114672),01.06.26 11:41,Prod,A1114672.6462,Tisch 4,Manager(946638),S1114672.47010,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,I37,"Fassbier (0,5 L)",Getränke alkoholisch(1549873308501121),,MwSt. 19%,1.19,3.529412,0.670588,Pagersystem
S1114672.47011,SP1114672.54.33,SY1114672.2026.47011,iPad1(1114672),01.06.26 11:42,Prod,A1114672.6463,Tisch 5,Manager(946638),S1114672.47011,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Pagersystem
S1114672.47012,SP1114672.54.34,SY1114672.2026.47012,iPad1(1114672),01.06.26 11:42,Prod,A1114672.6463,Tisch 5,Manager(946638),S1114672.47012,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47013,SP1114672.54.35,SY1114672.2026.47013,iPad1(1114672),01.06.26 11:42,Prod,A1114672.6463,Tisch 5,Manager(946638),S1114672.47013,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Pagersystem
S1114672.47014,SP1114672.54.36,SY1114672.2026.47014,iPad1(1114672),01.06.26 11:42,Prod,A1114672.6463,Tisch 5,Manager(946638),S1114672.47014,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Pagersystem
S1114672.47015,SP1114672.54.37,SY1114672.2026.47015,iPad1(1114672),01.06.26 11:42,Prod,A1114672.6463,Tisch 5,Manager(946638),S1114672.47015,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47016,SP1114672.54.38,SY1114672.2026.47016,iPad1(1114672),01.06.26 11:42,Prod,A1114672.6463,Tisch 5,Manager(946638),S1114672.47016,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Pagersystem
S1114672.47017,SP1114672.54.39,SY1114672.2026.47017,iPad1(1114672),01.06.26 11:59,Prod,A1114672.6464,Tisch 6,Manager(946638),S1114672.47017,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Pagersystem
S1114672.47018,SP1114672.54.40,SY1114672.2026.47018,iPad1(1114672),01.06.26 11:59,Prod,A1114672.6464,Tisch 6,Manager(946638),S1114672.47018,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,131,Beide Soßen,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47019,SP1114672.54.41,SY1114672.2026.47019,iPad1(1114672),01.06.26 11:59,Prod,A1114672.6464,Tisch 6,Manager(946638),S1114672.47019,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S6,Lachs,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Pagersystem
S1114672.47020,SP1114672.54.42,SY1114672.2026.47020,iPad1(1114672),01.06.26 11:59,Prod,A1114672.6464,Tisch 6,Manager(946638),S1114672.47020,SALE,1,3.4,3.4,0.0,0.0,0.0,0.0,I59,"Sprite (0,3 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,2.857143,0.542857,Pagersystem
S1114672.47021,SP1114672.54.43,SY1114672.2026.47021,iPad1(1114672),01.06.26 12:09,Prod,A1114672.6465,,Manager(946638),S1114672.47021,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,141,"Orangenschorle (0,3 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,2.689076,0.510924,Ohne Pager
S1114672.47022,SP1114672.54.44,SY1114672.2026.47022,iPad1(1114672),01.06.26 12:09,Prod,A1114672.6465,,Manager(946638),S1114672.47022,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,I52,"Apfelschorle (0,5 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,3.529412,0.670588,Ohne Pager
S1114672.47023,SP1114672.54.45,SY1114672.2026.47023,iPad1(1114672),01.06.26 12:09,Prod,A1114672.6465,,Manager(946638),S1114672.47023,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47024,SP1114672.54.46,SY1114672.2026.47024,iPad1(1114672),01.06.26 12:09,Prod,A1114672.6465,,Manager(946638),S1114672.47024,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47025,SP1114672.54.47,SY1114672.2026.47025,iPad1(1114672),01.06.26 12:09,Prod,A1114672.6465,,Manager(946638),S1114672.47025,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47026,SP1114672.54.48,SY1114672.2026.47026,iPad1(1114672),01.06.26 12:09,Prod,A1114672.6465,,Manager(946638),S1114672.47026,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47027,SP1114672.54.49,SY1114672.2026.47027,iPad1(1114672),01.06.26 12:09,Prod,A1114672.6465,,Manager(946638),S1114672.47027,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Ohne Pager
S1114672.47028,SP1114672.54.50,SY1114672.2026.47028,iPad1(1114672),01.06.26 12:15,Prod,A1114672.6466,,Manager(946638),S1114672.47028,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,I45,Weizenbier Hefe,Getränke alkoholisch(1549873308501121),,MwSt. 19%,1.19,3.529412,0.670588,Ohne Pager
S1114672.47029,SP1114672.54.51,SY1114672.2026.47029,iPad1(1114672),01.06.26 12:15,Prod,A1114672.6466,,Manager(946638),S1114672.47029,SALE,1,4.4,4.4,0.0,0.0,0.0,0.0,I62,"Fassbrause (0,5 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,3.697479,0.702521,Ohne Pager
S1114672.47030,SP1114672.54.52,SY1114672.2026.47030,iPad1(1114672),01.06.26 12:18,Prod,A1114672.6467,,Manager(946638),S1114672.47030,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47031,SP1114672.54.53,SY1114672.2026.47031,iPad1(1114672),01.06.26 12:18,Prod,A1114672.6467,,Manager(946638),S1114672.47031,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47032,SP1114672.54.54,SY1114672.2026.47032,iPad1(1114672),01.06.26 12:18,Prod,A1114672.6467,,Manager(946638),S1114672.47032,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Ohne Pager
S1114672.47033,SP1114672.54.55,SY1114672.2026.47033,iPad1(1114672),01.06.26 12:18,Prod,A1114672.6467,,Manager(946638),S1114672.47033,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47034,SP1114672.54.56,SY1114672.2026.47034,iPad1(1114672),01.06.26 12:18,Prod,A1114672.6467,,Manager(946638),S1114672.47034,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47035,SP1114672.54.57,SY1114672.2026.47035,iPad1(1114672),01.06.26 12:18,Prod,A1114672.6467,,Manager(946638),S1114672.47035,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Ohne Pager
S1114672.47036,SP1114672.54.58,SY1114672.2026.47036,iPad1(1114672),01.06.26 12:18,Prod,A1114672.6467,Tisch 2,Manager(946638),S1114672.47036,SALE,1,3.5,3.5,0.0,0.0,0.0,0.0,I36,"Fassbier (0,3 L)",Getränke alkoholisch(1549873308501121),,MwSt. 19%,1.19,2.941176,0.558824,Pagersystem
S1114672.47037,SP1114672.54.59,SY1114672.2026.47037,iPad1(1114672),01.06.26 12:19,Prod,A1114672.6468,,Manager(946638),S1114672.47037,SALE,1,3.5,3.5,0.0,0.0,0.0,0.0,177,"Radler 0,3",Getränke(1549873308501013),[],MwSt. 19%,1.19,2.941176,0.558824,Ohne Pager
S1114672.47038,SP1114672.54.60,SY1114672.2026.47038,iPad1(1114672),01.06.26 12:19,Prod,A1114672.6468,,Manager(946638),S1114672.47038,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47039,SP1114672.54.61,SY1114672.2026.47039,iPad1(1114672),01.06.26 12:19,Prod,A1114672.6468,,Manager(946638),S1114672.47039,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47040,SP1114672.54.62,SY1114672.2026.47040,iPad1(1114672),01.06.26 12:19,Prod,A1114672.6468,,Manager(946638),S1114672.47040,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Ohne Pager
S1114672.47041,SP1114672.54.63,SY1114672.2026.47041,iPad1(1114672),01.06.26 12:21,Prod,A1114672.6469,,Manager(946638),S1114672.47041,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47042,SP1114672.54.64,SY1114672.2026.47042,iPad1(1114672),01.06.26 12:21,Prod,A1114672.6469,,Manager(946638),S1114672.47042,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47043,SP1114672.54.65,SY1114672.2026.47043,iPad1(1114672),01.06.26 12:21,Prod,A1114672.6469,,Manager(946638),S1114672.47043,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Ohne Pager
S1114672.47044,SP1114672.54.66,SY1114672.2026.47044,iPad1(1114672),01.06.26 12:21,Prod,A1114672.6469,,Manager(946638),S1114672.47044,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,I14,Weizenbier alkoholfrei,Getränke alkoholisch(1549873308501121),,MwSt. 19%,1.19,3.529412,0.670588,Ohne Pager
S1114672.47045,SP1114672.54.67,SY1114672.2026.47045,iPad1(1114672),01.06.26 12:34,Prod,A1114672.6470,,Manager(946638),S1114672.47045,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,I2-1770047,KL. Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,10.186916,0.713084,Ohne Pager
S1114672.47046,SP1114672.54.68,SY1114672.2026.47046,iPad1(1114672),01.06.26 12:34,Prod,A1114672.6470,,Manager(946638),S1114672.47046,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47047,SP1114672.54.69,SY1114672.2026.47047,iPad1(1114672),01.06.26 12:34,Prod,A1114672.6470,,Manager(946638),S1114672.47047,SALE,1,2.0,2.0,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,1.869159,0.130841,Ohne Pager
S1114672.47048,SP1114672.54.70,SY1114672.2026.47048,iPad1(1114672),01.06.26 12:34,Prod,A1114672.6470,,Manager(946638),S1114672.47048,SALE,0,0.0,0.0,0.0,0.0,0.0,0.0,I51,"Apfelschorle (0,3 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,0,0,Ohne Pager
S1114672.47049,SP1114672.54.71,SY1114672.2026.47049,iPad1(1114672),01.06.26 12:34,Prod,A1114672.6470,Tisch 4,Manager(946638),S1114672.47049,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,I51,"Apfelschorle (0,3 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,2.689076,0.510924,Pagersystem
S1114672.47050,SP1114672.54.72,SY1114672.2026.47050,iPad1(1114672),01.06.26 12:38,Prod,A1114672.6471,,Manager(946638),S1114672.47050,SALE,1,6.0,6.0,0.0,0.0,0.0,0.0,158,Ingwer-Granatapfel,Getränke(1549873308501013),[],MwSt. 19%,1.19,5.042017,0.957983,Ohne Pager
S1114672.47051,SP1114672.54.73,SY1114672.2026.47051,iPad1(1114672),01.06.26 12:38,Prod,A1114672.6471,,Manager(946638),S1114672.47051,SALE,1,6.0,6.0,0.0,0.0,0.0,0.0,158,Ingwer-Granatapfel,Getränke(1549873308501013),[],MwSt. 19%,1.19,5.042017,0.957983,Ohne Pager
S1114672.47052,SP1114672.54.74,SY1114672.2026.47052,iPad1(1114672),01.06.26 12:39,Prod,A1114672.6472,,Manager(946638),S1114672.47052,SALE,1,3.5,3.5,0.0,0.0,0.0,0.0,I36,"Fassbier (0,3 L)",Getränke alkoholisch(1549873308501121),,MwSt. 19%,1.19,2.941176,0.558824,Ohne Pager
S1114672.47053,SP1114672.54.75,SY1114672.2026.47053,iPad1(1114672),01.06.26 12:39,Prod,A1114672.6472,,Manager(946638),S1114672.47053,SALE,1,6.0,6.0,0.0,0.0,0.0,0.0,158,Ingwer-Granatapfel,Getränke(1549873308501013),[],MwSt. 19%,1.19,5.042017,0.957983,Ohne Pager
S1114672.47054,SP1114672.54.76,SY1114672.2026.47054,iPad1(1114672),01.06.26 12:40,Prod,A1114672.6473,Tisch 5,Manager(946638),S1114672.47054,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Pagersystem
S1114672.47055,SP1114672.54.77,SY1114672.2026.47055,iPad1(1114672),01.06.26 12:40,Prod,A1114672.6473,Tisch 5,Manager(946638),S1114672.47055,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47056,SP1114672.54.78,SY1114672.2026.47056,iPad1(1114672),01.06.26 12:40,Prod,A1114672.6473,Tisch 5,Manager(946638),S1114672.47056,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Pagersystem
S1114672.47057,SP1114672.54.79,SY1114672.2026.47057,iPad1(1114672),01.06.26 12:40,Prod,A1114672.6473,Tisch 5,Manager(946638),S1114672.47057,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Pagersystem
S1114672.47058,SP1114672.54.80,SY1114672.2026.47058,iPad1(1114672),01.06.26 12:40,Prod,A1114672.6473,Tisch 5,Manager(946638),S1114672.47058,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
