id,plz,stadt,lat,lon,liegenschaft
186,56858,Sankt Aldegund,50.0833,7.13333,Einkaufszentrum
187,36115,Hilders,50.5667,10.0,Innenstadt
188,04924,Uebigau-Wahrenbrück Beiersdorf bei Falkenberg-Elster,51.54939,13.2934,Einkaufszentrum
189,98704,Wolfsberg,50.7056,10.9889,Einkaufszentrum
190,56761,Zettingen,50.2333,7.2,Einkaufszentrum
191,06179,Schochwitz,51.5311,11.75375,Einkaufszentrum
192,17258,Feldberger Seenlandschaft Hasselförde,53.3391,13.4188,Einkaufszentrum
193,38551,Ribbesbüttel,52.4336139767684,10.509490222168,Innenstadt
194,54612,Nimshuscheid,50.1,6.48333,Einkaufszentrum
195,89611,Rechtenstein,48.2333,9.55,Raststätte
196,06773,Rotta,51.7651595629891,12.6033104125977,Innenstadt
197,93047,Regensburg,49.015,12.0956,Innenstadt
198,19086,Plate-Mecklenburg Consrade,53.56783,11.47984,Raststätte
199,97070,Würzburg,49.7878,9.93611,Innenstadt
200,31174,Schellerten,52.18731,10.10231,Raststätte
201,69231,Rauenberg Kraichgau,49.2697,8.70417,Raststätte
202,22309,Hamburg Hamburg-Nord,53.6153,9.99269,Andere
203,30827,Garbsen,52.43648,9.60527999999999,Innenstadt
204,91341,Röttenbach bei Forchheim-Oberfranken,49.6667,10.9333,Andere
205,87466,Oy-Mittelberg,47.6333,10.4333,Andere
206,56593,Güllesheim,50.6,7.51667,Raststätte
207,30449,Hannover,52.38447,9.72693000000004,Innenstadt
208,17449,Karlshagen,54.1173,13.82939,Andere
209,18195,Cammin bei Rostock Prangendorf,54.01351,12.39603,Innenstadt
210,60316,Frankfurt am Main,50.1167,8.68333,Andere
211,18195,Gnewitz bei Rostock,54.07944,12.51062,Innenstadt
212,21031,Hamburg Bergedorf,53.4874,10.21063,Andere
213,06647,Kahlwinkel,51.2167537623061,11.4831497962952,Andere
214,86486,Bonstetten bei Augsburg,48.4333,10.7,Einkaufszentrum
215,99955,Bruchstedt,51.1836497073249,10.784372883606,Innenstadt
216,76199,Karlsruhe Baden Rüppurr,49.0047,8.38583,Andere
217,54552,Katzwinkel-Eifel,50.25,6.91667,Innenstadt
218,19230,Bandenitz Radelübbe,53.50286,11.28376,Innenstadt
219,20357,Hamburg Altona,53.55506,9.94196,Raststätte
220,22769,Hamburg Altona,53.55506,9.94196,Raststätte
221,66894,Krähenberg-Pfalz,49.3333,7.46667,Andere
222,20251,Hamburg,53.554423,9.994583,Innenstadt
223,83236,Übersee,47.8167,12.4833,Einkaufszentrum
224,19288,Ludwigslust-Mecklenburg,53.32285,11.49726,Einkaufszentrum
225,79592,Fischingen Baden,47.65,7.6,Andere
226,48301,Nottuln,51.9266843437121,7.3550210952759,Andere
227,53604,Bad Honnef,50.6333,7.23333,Einkaufszentrum
228,17179,Boddin bei Teterow Neu Vorwerk,53.92701,12.5872899999999,Innenstadt
229,57580,Elben-Westerwald,50.75,7.83333,Innenstadt
230,24536,Neumünster-Holstein,54.07402,9.984512,Innenstadt
231,06347,Heiligenthal bei Hettstedt-Sachsen-Anhalt,51.60879,11.63125,Andere
232,67685,Weilerbach-Pfalz,49.4833,7.63333,Einkaufszentrum
233,06295,Dederstedt,51.54434,11.6889200000001,Raststätte
234,04617,Lödla,50.9976,12.3891,Andere
235,83379,Wonneberg Egerdach,47.9167,12.7167,Andere
236,66894,Wiesbach-Pfalz,49.3333,7.45,Innenstadt
237,16348,Marienwerder bei Bernau bei Berlin Sophienstädt,52.80885,13.58685,Raststätte
238,27446,Farven,53.4331,9.32005000000004,Raststätte
239,75057,Kürnbach Baden,49.0775,8.84556,Einkaufszentrum
240,22607,Hamburg Altona,53.55506,9.94196,Einkaufszentrum
241,83737,Irschenberg Bach bei Irschenberg,47.7812123,11.900382,Innenstadt
242,22119,Hamburg Hamburg-Mitte,53.550278,9.994167,Innenstadt
243,17498,Weitenhagen bei Greifswald,54.05431,13.41129,Andere
244,07907,Dragensdorf,50.65,11.8333,Raststätte
245,60439,Frankfurt am Main Heddernheim,50.1167,8.68333,Innenstadt
246,18292,Hoppenrade bei Güstrow Striggow,53.71486,12.2969900000001,Innenstadt
247,39517,Jerchel bei Tangerhütte,52.46054,11.9443699999999,Andere
248,07980,Kühdorf,50.7,12.1,Raststätte
249,25358,Hohenfelde bei Elmshorn,53.843905,9.621519,Innenstadt
250,82441,Ohlstadt,47.6333,11.2333,Einkaufszentrum
251,07980,Lunzig,50.7167,12.1,Raststätte
252,31867,Messenkamp,52.260082,9.379738,Raststätte
253,24214,Neudorf-Bornstein,54.4321224268,9.94411976933,Innenstadt
254,18469,Velgast Schuenhagen,54.2521,12.82326,Einkaufszentrum
255,60529,Frankfurt am Main Goldstein,50.1167,8.68333,Innenstadt
256,24937,Flensburg,54.78047,9.43522,Einkaufszentrum
257,20459,Hamburg Hamburg-Mitte,53.550278,9.994167,Innenstadt
258,91719,Heidenheim Mittelfranken,49.0167,10.75,Andere
259,17337,Groß Luckow,53.53538,13.83227,Raststätte
260,54426,Büdlich,49.7833,6.9,Einkaufszentrum
261,24638,Schmalensee,54.0806894205797,10.2703832153797,Andere
262,79285,Ebringen Breisgau,47.95,7.78333,Einkaufszentrum
263,33824,Werther Westfalen,52.0747114443781,8.41266206878663,Einkaufszentrum
264,41466,Neuss,51.2038721294835,6.68800777252204,Raststätte
265,06456,Sandersleben,51.6786167769592,11.5691032592773,Andere
266,56377,Misselberg,50.3167,7.76667,Andere
267,88371,Ebersbach-Musbach,47.9667,9.58333,Einkaufszentrum
268,56751,Einig,50.2833,7.28333,Einkaufszentrum
269,95478,Kemnath-Stadt,49.8689,11.895,Raststätte
270,22047,Hamburg Wandsbek,53.581944,10.084167,Innenstadt
271,23777,Heringsdorf-Holstein,54.300776,11.004684,Raststätte
272,06386,Fraßdorf,51.72897,12.1118799999999,Andere
273,02906,Kreba-Neudorf,51.3417,14.6917,Innenstadt
274,45899,Gelsenkirchen,51.5175,7.08574999999996,Raststätte
275,56337,Arzbach-Westerwald,50.3667,7.75,Raststätte
276,17509,Kemnitz bei Greifswald Kemnitzerhagen,54.0630732633445,13.5423610687255,Innenstadt
277,17213,Penkow Kisserow,53.4475975627856,12.4651897247314,Einkaufszentrum
278,21644,Sauensiek,53.3834023888238,9.60184535980227,Innenstadt
279,18209,Hohenfelde bei Bad Doberan,54.0788,11.91059,Innenstadt
280,44265,Dortmund,51.504225397481,7.48365411122495,Raststätte
281,17139,Remplin Alt Panstorf,53.74376,12.68534,Innenstadt
282,18146,Rostock,54.08369,12.10063,Einkaufszentrum
283,22089,Hamburg Wandsbek,53.581944,10.084167,Einkaufszentrum
284,23911,Salem bei Ratzeburg,53.65699,10.82756,Raststätte
285,24857,Fahrdorf,54.503539,9.601545,Innenstadt
286,23970,Wismar-Mecklenburg,53.88842,11.46222,Einkaufszentrum
287,18184,Klein Kussewitz,54.13575,12.2426399999999,Innenstadt
288,19399,Wendisch Waren Woosten,53.56454,12.11104,Einkaufszentrum
289,91126,Schwabach,49.3292,11.0256,Andere
290,33161,Hövelhof,51.8238093124293,8.65617980957029,Einkaufszentrum
291,24802,Emkendorf bei Rendsburg,54.2606194765741,9.8518655210734,Raststätte
292,21388,Soderstorf,53.1427,10.1467700000001,Innenstadt
293,17153,Stavenhagen-Reuterstadt Wüstgrabow,53.726703,12.880526,Innenstadt
294,42103,Wuppertal,51.26136,7.16302999999994,Einkaufszentrum
295,66919,Saalstadt,49.3167,7.55,Raststätte
296,18516,Süderholz-Vorpommern Poggendorf,54.05688,13.1170500000001,Raststätte
297,18195,Nustrow,54.01708,12.59906,Andere
298,53489,Sinzig-Rhein,50.55,7.25,Andere
299,74545,Michelfeld Kreis Schwäbisch Hall,49.0975,9.67861,Innenstadt
300,18334,Eixen Forkenbeck,54.17724,12.70263,Einkaufszentrum
301,23896,Walksfelde,53.63081,10.5758,Raststätte
302,54293,Trier Ehrang,49.75,6.63333,Innenstadt
303,89584,Lauterach Württemberg,48.25,9.58333,Raststätte
304,18556,Wiek,54.62218,13.2927099999999,Raststätte
305,56316,Niederhofen-Westerwald,50.5667,7.6,Innenstadt
306,03139,Spremberg-Niederlausitz Schwarze Pumpe,51.52203,14.33276,Einkaufszentrum
307,99610,Vogelsberg bei Sömmerda,51.1333,11.25,Raststätte
308,07646,Schöngleina,50.9167,11.7333,Innenstadt
309,82287,Jesenwang,48.1667,11.1333,Andere
310,16775,Stechlin Menz bei Gransee,53.09923,13.04694,Einkaufszentrum
311,77871,Renchen,48.5833,8.01667,Raststätte
312,17121,Görmin Trissow,53.98261,13.28113,Innenstadt
313,04509,Krostitz,51.46221,12.45321,Einkaufszentrum
314,47169,Duisburg,51.43511,6.76301000000001,Raststätte
315,96269,Großheirath,50.1833,10.95,Andere
316,18439,Stralsund Andershof,54.276484,13.110459,Einkaufszentrum
317,86653,Monheim-Schwaben,48.8333,10.8333,Einkaufszentrum
318,25548,Rosdorf-Holstein,53.978038,9.724715,Raststätte
319,66887,Bosenbach,49.539,7.529,Einkaufszentrum
320,13187,Berlin Pankow,52.5710506114498,13.4049687142945,Innenstadt
321,09569,Oederan,50.8667,13.1667,Raststätte
322,91592,Buch am Wald,49.3333,10.3333,Andere
323,19288,Leussow bei Ludwigslust,53.27753,11.28837,Raststätte
324,12051,Berlin Neukölln,52.4802,13.43364,Innenstadt
325,53520,Ohlenhard,50.45,6.76667,Einkaufszentrum
326,48480,Lünne,52.43118,7.42590999999993,Einkaufszentrum
327,21521,Dassendorf,53.49119,10.37336,Innenstadt
328,01762,Hartmannsdorf-Reichenau,50.81551,13.5780099999999,Innenstadt
329,22767,Hamburg Hamburg-Mitte,53.550278,9.994167,Raststätte
330,15374,Müncheberg,52.50525,14.1346,Innenstadt
331,78604,Rietheim-Weilheim,48.0167,8.76667,Einkaufszentrum
332,60389,Frankfurt am Main,50.1167,8.68333,Andere
333,88069,Tettnang,47.6667,9.6,Innenstadt
334,24649,Fuhlendorf bei Wiemersdorf,53.9436569547884,9.886770874815,Innenstadt
335,06918,Elster Elbe,51.8217122119163,12.8353407144164,Raststätte
336,73574,Iggingen,48.8333,9.88333,Raststätte
337,22949,Ammersbek,53.69804,10.18371,Innenstadt
338,29468,Bergen an der Dumme,52.8897,10.9418,Andere
339,99441,Umpferstedt,50.9833,11.4167,Andere
340,24214,Lindau bei Kiel,54.385024,9.904678,Andere
341,88515,Langenenslingen,48.15,9.36667,Einkaufszentrum
342,35789,Weilmünster,50.4333,8.36667,Innenstadt
343,20357,Hamburg Altona,53.55506,9.94196,Innenstadt
344,39524,Neuermark-Lübars,52.65057,12.04196,Raststätte
345,19089,Demen,53.62973,11.7699,Raststätte
346,67744,Kirrweiler bei Lauterecken,49.6333,7.5,Andere
347,25554,Dammfleth,53.908773,9.371519,Innenstadt
348,06543,Braunschwende,51.58903,11.24248,Einkaufszentrum
349,96172,Mühlhausen-Mittelfranken,49.75,10.7833,Innenstadt
350,54673,Preischeid,50.0333,6.15,Andere
351,77767,Appenweier,48.5333,7.98333,Andere
352,08228,Rodewisch,50.5333,12.4167,Raststätte
353,15938,Golßen Altgolßen,51.970662,13.560307,Andere
354,04626,Thonhausen bei Schmölln,50.8333,12.3256,Raststätte
355,79737,Herrischried,47.6667,8.0,Andere
356,17358,Torgelow-Holländerei,53.6751,14.0388,Einkaufszentrum
357,25821,Vollstedt,54.6226261458874,9.02867540717126,Raststätte
358,98739,Schmiedefeld bei Neuhaus am Rennweg,50.5333,11.2167,Einkaufszentrum
359,38875,Elbingerode Harz,51.76938,10.8063099999999,Andere
360,15232,Frankfurt Oder,52.34399,14.54015,Andere
361,83377,Vachendorf-Kreis Traunstein-Oberbayern Lug-Oberbayern,47.846159,12.562674,Raststätte
362,99439,Leutenthal,51.05,11.3667,Raststätte
363,56357,Dornholzhausen-Rhein-Lahn-Kreis,50.2667,7.78333,Raststätte
364,25856,Hattstedt,54.5312215281043,9.02176119530741,Andere
365,86735,Amerdingen,48.7333,10.4833,Innenstadt
366,95519,Schlammersdorf-Oberpfalz,49.8,11.7333,Raststätte
367,19071,Cramonshagen,53.70231,11.27553,Einkaufszentrum
368,04509,Zwochau bei Delitzsch,51.464614626611,12.2691890899658,Andere
369,04315,Leipzig,51.3396,12.3713,Andere
370,91438,Bad Windsheim,49.5,10.4167,Andere
371,22115,Hamburg Hamburg-Mitte,53.550278,9.994167,Raststätte
372,95183,Töpen,50.3833,11.8667,Einkaufszentrum
373,27404,Gyhum,53.21874,9.30966999999998,Innenstadt
374,19395,Plau am See Klebe,53.46252,12.22405,Andere
375,74746,Höpfingen,49.6025,9.42861,Innenstadt
376,67808,Würzweiler,49.65,7.86667,Innenstadt
377,56587,Straßenhaus-Westerwald,50.5333,7.51667,Innenstadt
378,24647,Wasbek,54.07225,9.89598,Einkaufszentrum
379,76857,Völkersweiler,49.1667,7.93333,Einkaufszentrum
380,15745,Wildau bei Königs Wusterhausen,52.32653,13.62662,Raststätte
381,04916,Schönewalde bei Herzberg-Elster Dubro,51.7613301,13.26495,Einkaufszentrum
382,55608,Bergen bei Kirn,49.7833,7.41667,Andere
383,45881,Gelsenkirchen,51.5175,7.08574999999996,Einkaufszentrum
384,83259,Schleching,47.7167,12.4,Einkaufszentrum
385,83564,Soyen,48.1167,12.2,Andere
386,53229,Bonn,50.7333,7.1,Innenstadt
387,28355,Bremen,53.07516,8.80777,Raststätte
388,53539,Gelenberg,50.3,6.86667,Andere
389,24794,Neu Duvenstedt,54.35545,9.69672,Innenstadt
390,21039,Hamburg Bergedorf,53.4874,10.21063,Einkaufszentrum
391,53498,Waldorf-Kreis Ahrweiler,50.4833,7.23333,Raststätte
392,06507,Gernrode-Harz,51.7273,11.14294,Innenstadt
393,57612,Volkerzen,50.7167,7.68333,Einkaufszentrum
394,74582,Gerabronn Württemberg,49.2511,9.92139,Innenstadt
395,20253,Hamburg Eimsbüttel,53.574444,9.959444,Innenstadt
396,06567,Göllingen bei Bad Frankenhausen,51.34379,11.01346,Einkaufszentrum
397,03130,Hornow-Wadelsdorf,51.61719,14.4838,Raststätte
398,96160,Geiselwind,49.7667,10.4667,Andere
399,27632,Midlum bei Bremerhaven,53.73129,8.61796000000004,Andere
400,37318,Rustenfelde,51.39431,10.0048400000001,Innenstadt
